model,family,benchmark,observed,log_active_params,log_total_params,log_train_tokens,is_closed_source,scale_imputed,release_year_norm,saturation_2026,contamination_resistant,retained_v22,output_space
Llama-3.1-8B,Llama3,IFEval,0,2.0794415416798357,2.0794415416798357,9.615805480084347,0.0,0,2.5,93,0,0,0
Llama-3.3-70B,Llama3,MMLU,1,4.248495242049359,4.248495242049359,9.615805480084347,0.0,0,2.900000000000091,93,0,1,2
Llama-3.3-70B,Llama3,ARC_C,1,4.248495242049359,4.248495242049359,9.615805480084347,0.0,0,2.900000000000091,97,0,1,2
Llama-3.3-70B,Llama3,GSM8K,1,4.248495242049359,4.248495242049359,9.615805480084347,0.0,0,2.900000000000091,98,0,1,1
Llama-3.3-70B,Llama3,HumanEval,1,4.248495242049359,4.248495242049359,9.615805480084347,0.0,0,2.900000000000091,97,0,1,0
Llama-3.3-70B,Llama3,MATH,1,4.248495242049359,4.248495242049359,9.615805480084347,0.0,0,2.900000000000091,95,0,1,0
Llama-3.3-70B,Llama3,MBPP,1,4.248495242049359,4.248495242049359,9.615805480084347,0.0,0,2.900000000000091,95,0,1,0
Llama-3.3-70B,Llama3,MMLU_Pro,0,4.248495242049359,4.248495242049359,9.615805480084347,0.0,0,2.900000000000091,89,1,0,2
Llama-3.3-70B,Llama3,BBH,0,4.248495242049359,4.248495242049359,9.615805480084347,0.0,0,2.900000000000091,92,0,0,1
Llama-3.3-70B,Llama3,GPQA_Diamond,0,4.248495242049359,4.248495242049359,9.615805480084347,0.0,0,2.900000000000091,94,1,0,2
Llama-3.3-70B,Llama3,AIME_2024,0,4.248495242049359,4.248495242049359,9.615805480084347,0.0,0,2.900000000000091,95,1,0,1
Llama-3.3-70B,Llama3,LiveCodeBench,0,4.248495242049359,4.248495242049359,9.615805480084347,0.0,0,2.900000000000091,92,1,0,0
Llama-3.3-70B,Llama3,IFEval,0,4.248495242049359,4.248495242049359,9.615805480084347,0.0,0,2.900000000000091,93,0,0,0
Llama-4-Maverick,Llama4,MMLU,1,2.833213344056216,5.991464547107982,10.308952660644293,0.0,0,3.269999999999982,93,0,1,2
Llama-4-Maverick,Llama4,ARC_C,0,2.833213344056216,5.991464547107982,10.308952660644293,0.0,0,3.269999999999982,97,0,1,2
Llama-4-Maverick,Llama4,GSM8K,0,2.833213344056216,5.991464547107982,10.308952660644293,0.0,0,3.269999999999982,98,0,1,1
Llama-4-Maverick,Llama4,HumanEval,1,2.833213344056216,5.991464547107982,10.308952660644293,0.0,0,3.269999999999982,97,0,1,0
Llama-4-Maverick,Llama4,MATH,1,2.833213344056216,5.991464547107982,10.308952660644293,0.0,0,3.269999999999982,95,0,1,0
Llama-4-Maverick,Llama4,MBPP,1,2.833213344056216,5.991464547107982,10.308952660644293,0.0,0,3.269999999999982,95,0,1,0
Llama-4-Maverick,Llama4,MMLU_Pro,1,2.833213344056216,5.991464547107982,10.308952660644293,0.0,0,3.269999999999982,89,1,0,2
Llama-4-Maverick,Llama4,BBH,0,2.833213344056216,5.991464547107982,10.308952660644293,0.0,0,3.269999999999982,92,0,0,1
Llama-4-Maverick,Llama4,GPQA_Diamond,1,2.833213344056216,5.991464547107982,10.308952660644293,0.0,0,3.269999999999982,94,1,0,2
Llama-4-Maverick,Llama4,AIME_2024,0,2.833213344056216,5.991464547107982,10.308952660644293,0.0,0,3.269999999999982,95,1,0,1
Llama-4-Maverick,Llama4,LiveCodeBench,1,2.833213344056216,5.991464547107982,10.308952660644293,0.0,0,3.269999999999982,92,1,0,0
Llama-4-Maverick,Llama4,IFEval,0,2.833213344056216,5.991464547107982,10.308952660644293,0.0,0,3.269999999999982,93,0,0,0
Llama-4-Scout,Llama4,MMLU,1,2.833213344056216,4.6913478822291435,10.308952660644293,0.0,0,3.269999999999982,93,0,1,2
Llama-4-Scout,Llama4,ARC_C,0,2.833213344056216,4.6913478822291435,10.308952660644293,0.0,0,3.269999999999982,97,0,1,2
Llama-4-Scout,Llama4,GSM8K,0,2.833213344056216,4.6913478822291435,10.308952660644293,0.0,0,3.269999999999982,98,0,1,1
Llama-4-Scout,Llama4,HumanEval,1,2.833213344056216,4.6913478822291435,10.308952660644293,0.0,0,3.269999999999982,97,0,1,0
Llama-4-Scout,Llama4,MATH,1,2.833213344056216,4.6913478822291435,10.308952660644293,0.0,0,3.269999999999982,95,0,1,0
Llama-4-Scout,Llama4,MBPP,1,2.833213344056216,4.6913478822291435,10.308952660644293,0.0,0,3.269999999999982,95,0,1,0
Llama-4-Scout,Llama4,MMLU_Pro,1,2.833213344056216,4.6913478822291435,10.308952660644293,0.0,0,3.269999999999982,89,1,0,2
Llama-4-Scout,Llama4,BBH,0,2.833213344056216,4.6913478822291435,10.308952660644293,0.0,0,3.269999999999982,92,0,0,1
Llama-4-Scout,Llama4,GPQA_Diamond,1,2.833213344056216,4.6913478822291435,10.308952660644293,0.0,0,3.269999999999982,94,1,0,2
Llama-4-Scout,Llama4,AIME_2024,0,2.833213344056216,4.6913478822291435,10.308952660644293,0.0,0,3.269999999999982,95,1,0,1
Llama-4-Scout,Llama4,LiveCodeBench,1,2.833213344056216,4.6913478822291435,10.308952660644293,0.0,0,3.269999999999982,92,1,0,0
Llama-4-Scout,Llama4,IFEval,0,2.833213344056216,4.6913478822291435,10.308952660644293,0.0,0,3.269999999999982,93,0,0,0
Mistral-7B,Mistral,MMLU,1,1.9459101490553132,1.9459101490553132,7.824046010856292,0.0,0,1.7000000000000455,93,0,1,2
Mistral-7B,Mistral,ARC_C,1,1.9459101490553132,1.9459101490553132,7.824046010856292,0.0,0,1.7000000000000455,97,0,1,2
Mistral-7B,Mistral,GSM8K,1,1.9459101490553132,1.9459101490553132,7.824046010856292,0.0,0,1.7000000000000455,98,0,1,1
Mistral-7B,Mistral,HumanEval,1,1.9459101490553132,1.9459101490553132,7.824046010856292,0.0,0,1.7000000000000455,97,0,1,0
Mistral-7B,Mistral,MATH,1,1.9459101490553132,1.9459101490553132,7.824046010856292,0.0,0,1.7000000000000455,95,0,1,0
Mistral-7B,Mistral,MBPP,1,1.9459101490553132,1.9459101490553132,7.824046010856292,0.0,0,1.7000000000000455,95,0,1,0
Mistral-7B,Mistral,MMLU_Pro,0,1.9459101490553132,1.9459101490553132,7.824046010856292,0.0,0,1.7000000000000455,89,1,0,2
Mistral-7B,Mistral,BBH,0,1.9459101490553132,1.9459101490553132,7.824046010856292,0.0,0,1.7000000000000455,92,0,0,1
Mistral-7B,Mistral,GPQA_Diamond,0,1.9459101490553132,1.9459101490553132,7.824046010856292,0.0,0,1.7000000000000455,94,1,0,2
Mistral-7B,Mistral,AIME_2024,0,1.9459101490553132,1.9459101490553132,7.824046010856292,0.0,0,1.7000000000000455,95,1,0,1
Mistral-7B,Mistral,LiveCodeBench,0,1.9459101490553132,1.9459101490553132,7.824046010856292,0.0,0,1.7000000000000455,92,1,0,0
Mistral-7B,Mistral,IFEval,0,1.9459101490553132,1.9459101490553132,7.824046010856292,0.0,0,1.7000000000000455,93,0,0,0
Mistral-Small-3,Mistral,MMLU,1,3.1780538303479458,3.1780538303479458,8.987196820661973,0.0,0,3.0799999999999272,93,0,1,2
Mistral-Small-3,Mistral,ARC_C,0,3.1780538303479458,3.1780538303479458,8.987196820661973,0.0,0,3.0799999999999272,97,0,1,2
Mistral-Small-3,Mistral,GSM8K,1,3.1780538303479458,3.1780538303479458,8.987196820661973,0.0,0,3.0799999999999272,98,0,1,1
Mistral-Small-3,Mistral,HumanEval,1,3.1780538303479458,3.1780538303479458,8.987196820661973,0.0,0,3.0799999999999272,97,0,1,0
Mistral-Small-3,Mistral,MATH,1,3.1780538303479458,3.1780538303479458,8.987196820661973,0.0,0,3.0799999999999272,95,0,1,0
Mistral-Small-3,Mistral,MBPP,1,3.1780538303479458,3.1780538303479458,8.987196820661973,0.0,0,3.0799999999999272,95,0,1,0
Mistral-Small-3,Mistral,MMLU_Pro,1,3.1780538303479458,3.1780538303479458,8.987196820661973,0.0,0,3.0799999999999272,89,1,0,2
Mistral-Small-3,Mistral,BBH,0,3.1780538303479458,3.1780538303479458,8.987196820661973,0.0,0,3.0799999999999272,92,0,0,1
Mistral-Small-3,Mistral,GPQA_Diamond,1,3.1780538303479458,3.1780538303479458,8.987196820661973,0.0,0,3.0799999999999272,94,1,0,2
Mistral-Small-3,Mistral,AIME_2024,0,3.1780538303479458,3.1780538303479458,8.987196820661973,0.0,0,3.0799999999999272,95,1,0,1
Mistral-Small-3,Mistral,LiveCodeBench,0,3.1780538303479458,3.1780538303479458,8.987196820661973,0.0,0,3.0799999999999272,92,1,0,0
Mistral-Small-3,Mistral,IFEval,1,3.1780538303479458,3.1780538303479458,8.987196820661973,0.0,0,3.0799999999999272,93,0,0,0
Mixtral-8x7B,Mistral,MMLU,1,2.5572273113676265,3.8437441646748516,8.006367567650246,0.0,0,1.900000000000091,93,0,1,2
Mixtral-8x7B,Mistral,ARC_C,1,2.5572273113676265,3.8437441646748516,8.006367567650246,0.0,0,1.900000000000091,97,0,1,2
Mixtral-8x7B,Mistral,GSM8K,1,2.5572273113676265,3.8437441646748516,8.006367567650246,0.0,0,1.900000000000091,98,0,1,1
Mixtral-8x7B,Mistral,HumanEval,1,2.5572273113676265,3.8437441646748516,8.006367567650246,0.0,0,1.900000000000091,97,0,1,0
Mixtral-8x7B,Mistral,MATH,1,2.5572273113676265,3.8437441646748516,8.006367567650246,0.0,0,1.900000000000091,95,0,1,0
Mixtral-8x7B,Mistral,MBPP,1,2.5572273113676265,3.8437441646748516,8.006367567650246,0.0,0,1.900000000000091,95,0,1,0
Mixtral-8x7B,Mistral,MMLU_Pro,0,2.5572273113676265,3.8437441646748516,8.006367567650246,0.0,0,1.900000000000091,89,1,0,2
Mixtral-8x7B,Mistral,BBH,0,2.5572273113676265,3.8437441646748516,8.006367567650246,0.0,0,1.900000000000091,92,0,0,1
Mixtral-8x7B,Mistral,GPQA_Diamond,0,2.5572273113676265,3.8437441646748516,8.006367567650246,0.0,0,1.900000000000091,94,1,0,2
Mixtral-8x7B,Mistral,AIME_2024,0,2.5572273113676265,3.8437441646748516,8.006367567650246,0.0,0,1.900000000000091,95,1,0,1
Mixtral-8x7B,Mistral,LiveCodeBench,0,2.5572273113676265,3.8437441646748516,8.006367567650246,0.0,0,1.900000000000091,92,1,0,0
Mixtral-8x7B,Mistral,IFEval,0,2.5572273113676265,3.8437441646748516,8.006367567650246,0.0,0,1.900000000000091,93,0,0,0
Phi-2,Phi,MMLU,1,0.9932517730102834,0.9932517730102834,7.24422751560335,0.0,0,1.900000000000091,93,0,1,2
Phi-2,Phi,ARC_C,1,0.9932517730102834,0.9932517730102834,7.24422751560335,0.0,0,1.900000000000091,97,0,1,2
Phi-2,Phi,GSM8K,1,0.9932517730102834,0.9932517730102834,7.24422751560335,0.0,0,1.900000000000091,98,0,1,1
Phi-2,Phi,HumanEval,1,0.9932517730102834,0.9932517730102834,7.24422751560335,0.0,0,1.900000000000091,97,0,1,0
Phi-2,Phi,MATH,1,0.9932517730102834,0.9932517730102834,7.24422751560335,0.0,0,1.900000000000091,95,0,1,0
Phi-2,Phi,MBPP,1,0.9932517730102834,0.9932517730102834,7.24422751560335,0.0,0,1.900000000000091,95,0,1,0
Phi-2,Phi,MMLU_Pro,0,0.9932517730102834,0.9932517730102834,7.24422751560335,0.0,0,1.900000000000091,89,1,0,2
Phi-2,Phi,BBH,0,0.9932517730102834,0.9932517730102834,7.24422751560335,0.0,0,1.900000000000091,92,0,0,1
Phi-2,Phi,GPQA_Diamond,0,0.9932517730102834,0.9932517730102834,7.24422751560335,0.0,0,1.900000000000091,94,1,0,2
Phi-2,Phi,AIME_2024,0,0.9932517730102834,0.9932517730102834,7.24422751560335,0.0,0,1.900000000000091,95,1,0,1
Phi-2,Phi,LiveCodeBench,0,0.9932517730102834,0.9932517730102834,7.24422751560335,0.0,0,1.900000000000091,92,1,0,0
Phi-2,Phi,IFEval,0,0.9932517730102834,0.9932517730102834,7.24422751560335,0.0,0,1.900000000000091,93,0,0,0
Phi-4,Phi,MMLU,1,2.6390573296152584,2.6390573296152584,9.190137664658664,0.0,0,2.900000000000091,93,0,1,2
Phi-4,Phi,ARC_C,1,2.6390573296152584,2.6390573296152584,9.190137664658664,0.0,0,2.900000000000091,97,0,1,2
Phi-4,Phi,GSM8K,1,2.6390573296152584,2.6390573296152584,9.190137664658664,0.0,0,2.900000000000091,98,0,1,1
Phi-4,Phi,HumanEval,1,2.6390573296152584,2.6390573296152584,9.190137664658664,0.0,0,2.900000000000091,97,0,1,0
Phi-4,Phi,MATH,1,2.6390573296152584,2.6390573296152584,9.190137664658664,0.0,0,2.900000000000091,95,0,1,0
Phi-4,Phi,MBPP,1,2.6390573296152584,2.6390573296152584,9.190137664658664,0.0,0,2.900000000000091,95,0,1,0
Phi-4,Phi,MMLU_Pro,1,2.6390573296152584,2.6390573296152584,9.190137664658664,0.0,0,2.900000000000091,89,1,0,2
Phi-4,Phi,BBH,1,2.6390573296152584,2.6390573296152584,9.190137664658664,0.0,0,2.900000000000091,92,0,0,1
Phi-4,Phi,GPQA_Diamond,1,2.6390573296152584,2.6390573296152584,9.190137664658664,0.0,0,2.900000000000091,94,1,0,2
Phi-4,Phi,AIME_2024,0,2.6390573296152584,2.6390573296152584,9.190137664658664,0.0,0,2.900000000000091,95,1,0,1
Phi-4,Phi,LiveCodeBench,0,2.6390573296152584,2.6390573296152584,9.190137664658664,0.0,0,2.900000000000091,92,1,0,0
Phi-4,Phi,IFEval,1,2.6390573296152584,2.6390573296152584,9.190137664658664,0.0,0,2.900000000000091,93,0,0,0
Phi-4-mini,Phi,MMLU,1,1.33500106673234,1.33500106673234,8.517193191416238,0.0,0,3.1700000000000728,93,0,1,2
Phi-4-mini,Phi,ARC_C,0,1.33500106673234,1.33500106673234,8.517193191416238,0.0,0,3.1700000000000728,97,0,1,2
Phi-4-mini,Phi,GSM8K,1,1.33500106673234,1.33500106673234,8.517193191416238,0.0,0,3.1700000000000728,98,0,1,1
Phi-4-mini,Phi,HumanEval,1,1.33500106673234,1.33500106673234,8.517193191416238,0.0,0,3.1700000000000728,97,0,1,0
Phi-4-mini,Phi,MATH,1,1.33500106673234,1.33500106673234,8.517193191416238,0.0,0,3.1700000000000728,95,0,1,0
Phi-4-mini,Phi,MBPP,1,1.33500106673234,1.33500106673234,8.517193191416238,0.0,0,3.1700000000000728,95,0,1,0
Phi-4-mini,Phi,MMLU_Pro,1,1.33500106673234,1.33500106673234,8.517193191416238,0.0,0,3.1700000000000728,89,1,0,2
Phi-4-mini,Phi,BBH,0,1.33500106673234,1.33500106673234,8.517193191416238,0.0,0,3.1700000000000728,92,0,0,1
Phi-4-mini,Phi,GPQA_Diamond,1,1.33500106673234,1.33500106673234,8.517193191416238,0.0,0,3.1700000000000728,94,1,0,2
Phi-4-mini,Phi,AIME_2024,0,1.33500106673234,1.33500106673234,8.517193191416238,0.0,0,3.1700000000000728,95,1,0,1
Phi-4-mini,Phi,LiveCodeBench,0,1.33500106673234,1.33500106673234,8.517193191416238,0.0,0,3.1700000000000728,92,1,0,0
Phi-4-mini,Phi,IFEval,1,1.33500106673234,1.33500106673234,8.517193191416238,0.0,0,3.1700000000000728,93,0,0,0
Qwen2.5-72B,Qwen2,MMLU,1,4.276666119016055,4.276666119016055,9.798127036878302,0.0,0,2.7000000000000455,93,0,1,2
Qwen2.5-72B,Qwen2,ARC_C,1,4.276666119016055,4.276666119016055,9.798127036878302,0.0,0,2.7000000000000455,97,0,1,2
Qwen2.5-72B,Qwen2,GSM8K,1,4.276666119016055,4.276666119016055,9.798127036878302,0.0,0,2.7000000000000455,98,0,1,1
Qwen2.5-72B,Qwen2,HumanEval,1,4.276666119016055,4.276666119016055,9.798127036878302,0.0,0,2.7000000000000455,97,0,1,0
Qwen2.5-72B,Qwen2,MATH,1,4.276666119016055,4.276666119016055,9.798127036878302,0.0,0,2.7000000000000455,95,0,1,0
Qwen2.5-72B,Qwen2,MBPP,1,4.276666119016055,4.276666119016055,9.798127036878302,0.0,0,2.7000000000000455,95,0,1,0
Qwen2.5-72B,Qwen2,MMLU_Pro,0,4.276666119016055,4.276666119016055,9.798127036878302,0.0,0,2.7000000000000455,89,1,0,2
Qwen2.5-72B,Qwen2,BBH,0,4.276666119016055,4.276666119016055,9.798127036878302,0.0,0,2.7000000000000455,92,0,0,1
Qwen2.5-72B,Qwen2,GPQA_Diamond,0,4.276666119016055,4.276666119016055,9.798127036878302,0.0,0,2.7000000000000455,94,1,0,2
Qwen2.5-72B,Qwen2,AIME_2024,0,4.276666119016055,4.276666119016055,9.798127036878302,0.0,0,2.7000000000000455,95,1,0,1
Qwen2.5-72B,Qwen2,LiveCodeBench,0,4.276666119016055,4.276666119016055,9.798127036878302,0.0,0,2.7000000000000455,92,1,0,0
Qwen2.5-72B,Qwen2,IFEval,0,4.276666119016055,4.276666119016055,9.798127036878302,0.0,0,2.7000000000000455,93,0,0,0
Qwen2.5-7B,Qwen2,MMLU,1,1.9459101490553132,1.9459101490553132,9.798127036878302,0.0,0,2.7000000000000455,93,0,1,2
Qwen2.5-7B,Qwen2,ARC_C,1,1.9459101490553132,1.9459101490553132,9.798127036878302,0.0,0,2.7000000000000455,97,0,1,2
Qwen2.5-7B,Qwen2,GSM8K,1,1.9459101490553132,1.9459101490553132,9.798127036878302,0.0,0,2.7000000000000455,98,0,1,1
Qwen2.5-7B,Qwen2,HumanEval,1,1.9459101490553132,1.9459101490553132,9.798127036878302,0.0,0,2.7000000000000455,97,0,1,0
Qwen2.5-7B,Qwen2,MATH,1,1.9459101490553132,1.9459101490553132,9.798127036878302,0.0,0,2.7000000000000455,95,0,1,0
Qwen2.5-7B,Qwen2,MBPP,1,1.9459101490553132,1.9459101490553132,9.798127036878302,0.0,0,2.7000000000000455,95,0,1,0
Qwen2.5-7B,Qwen2,MMLU_Pro,0,1.9459101490553132,1.9459101490553132,9.798127036878302,0.0,0,2.7000000000000455,89,1,0,2
